dataset,gap_ms,offset_ms,shift_frames,pesq_mean,pesq_std,pesq_ci95,stoi_mean,stoi_std,stoi_ci95,num_pesq,num_stoi,delta_pesq_av_minus_audio_mean,delta_pesq_av_minus_audio_std,delta_pesq_av_minus_audio_ci95,delta_num_pesq,delta_stoi_av_minus_audio_mean,delta_stoi_av_minus_audio_std,delta_stoi_av_minus_audio_ci95,delta_num_stoi
voxceleb2,500,-160,-4,2.7814550033881242,0.40174872821739244,0.008944076701868052,0.9052312231549572,0.03094128365502924,0.0006888415440486195,7754,7754,0.12009723056737129,0.2527326571930485,0.005626552400132006,7754,0.021034406449301067,0.025199254785642684,0.0005610075447724753,7754
voxceleb2,500,-80,-2,2.807613282542515,0.40305143331122095,0.008973078646269509,0.9086372911116622,0.03023482986333779,0.0006731138604110132,7754,7754,0.14625550972176238,0.2605151851910417,0.005799813750970238,7754,0.02444047440600616,0.02536694505182218,0.0005647408101135281,7754
voxceleb2,500,-40,-1,2.810851294461802,0.4022959172905153,0.008956258696972681,0.9093854044660207,0.03006936267133622,0.000669430087064744,7754,7754,0.14949352164104915,0.2609445238422089,0.005809372058333535,7754,0.025188587760364443,0.025322651617498176,0.0005637547114748569,7754
voxceleb2,500,0,0,2.814941220502433,0.4024261256882105,0.008959157508628864,0.9097086699505825,0.029980668884279686,0.0006674555094775723,7754,7754,0.15358344768167986,0.26275258105255805,0.005849624587426739,7754,0.02551185324492639,0.025263836302730193,0.0005624453142084026,7754
voxceleb2,500,40,1,2.814840058583035,0.40260776762879985,0.008963201378179157,0.9094488339782333,0.030004848649577334,0.0006679938202680381,7754,7754,0.15348228576228212,0.26257622080885396,0.005845698303568047,7754,0.025252017272577216,0.025147758439080098,0.0005598610886889291,7754
voxceleb2,500,80,2,2.8050665777923216,0.4000968025187256,0.008907300107153687,0.9085495808263652,0.03010965524163421,0.000670327115017663,7754,7754,0.14370880497156852,0.26031781583877006,0.005795419744215945,7754,0.02435276412070911,0.025075474069988998,0.0005582518317178726,7754
voxceleb2,500,160,4,2.7660213027967138,0.40329672075971745,0.008978539447012032,0.9026952649319374,0.03157824868904511,0.0007030222090277583,7754,7754,0.10466352997596097,0.24831451314913167,0.00552819186671095,7754,0.018498448226281338,0.02474606496775194,0.000550918242163589,7754
voxceleb2,500,320,8,2.6245818431764216,0.4136881301502857,0.00920988196561103,0.8785695918738056,0.03636127726156955,0.0008095061165430454,7754,7754,-0.036775929644331046,0.19987885373024297,0.004449875440246296,7754,-0.005627224831850496,0.022061744360792678,0.0004911575815447529,7754
voxceleb2,1000,-320,-8,1.8146732023213061,0.29812778184051403,0.0066371778190084775,0.7486919405756728,0.05624167071218723,0.0012521005826776667,7754,7754,0.023446745330721008,0.17144826783983755,0.0038169292153481396,7754,0.010373318114770881,0.043592758739928086,0.0009704995944752973,7754
voxceleb2,1000,-160,-4,1.9397561565821768,0.3163488300442961,0.00704283051004793,0.7954143550326681,0.050964375267249826,0.0011346128797361454,7754,7754,0.14852969959159165,0.21073844360607646,0.0046916409966209415,7754,0.05709573257176621,0.044899168950055524,0.0009995840253715182,7754
voxceleb2,1000,-80,-2,1.9684881313363085,0.3216493130605912,0.007160834434702643,0.8034609301666839,0.04852917454118617,0.0010803983407754337,7754,7754,0.17726167434572343,0.21838961728548043,0.004861978024323674,7754,0.0651423077057821,0.04303950164788798,0.000958182507899776,7754
voxceleb2,1000,-40,-1,1.9733721894919027,0.32131223203776244,0.007153330046235001,0.8053612370793539,0.04790599691968667,0.001066524623065584,7754,7754,0.18214573250131752,0.22072628142732867,0.004913998856857302,7754,0.06704261461845211,0.042671277702004795,0.0009499847888178585,7754
voxceleb2,1000,0,0,1.9767247379241237,0.32362195960052365,0.0072047511934117915,0.8060998752864191,0.047537031649452194,0.001058310399981555,7754,7754,0.18549828093353854,0.22079157799958585,0.004915452545468163,7754,0.0677812528255173,0.04249973147498822,0.0009461656787508267,7754
voxceleb2,1000,40,1,1.9729194713524392,0.32213406499443903,0.007171626400359765,0.8055234277385355,0.04760161444778676,0.0010597481979417096,7754,7754,0.18169301436185406,0.21925048387870008,0.004881143378932254,7754,0.06720480527763366,0.04260093883941115,0.0009484188443904768,7754
voxceleb2,1000,80,2,1.96553271852082,0.3189234199395141,0.0071001482509176,0.8034042849593142,0.04808760538766644,0.001070567747419772,7754,7754,0.17430626153023487,0.21828493516941078,0.004859647500765839,7754,0.06508566249841226,0.0429374991059834,0.0009559116393331767,7754
voxceleb2,1000,160,4,1.9271848560578742,0.31691945001376876,0.007055534143976595,0.7899344940990399,0.05180411234605311,0.0011533078308702657,7754,7754,0.1359583990672891,0.20719603329291153,0.004612776802847337,7754,0.05161587163813813,0.04525085070594878,0.001007413467951993,7754
voxceleb2,1000,320,8,1.772290456992989,0.29201147805845334,0.006501011388808668,0.7260680621598917,0.05585153081967149,0.0012434149518889834,7754,7754,-0.018935999997596258,0.167534977420228,0.003729808168755221,7754,-0.012250560301010106,0.04399679151298474,0.0009794945205533997,7754
